Gene	SCZ_p	SCZ_q	BPD_p	BPD_q	Vagas_PGC_SCZ_p	Vagas_PGC_BPD_p	t_product_q
UGP2	1.89E-02	2.36E-01	1.10E-03	1.02E-01	3.43E-01	4.53E-02	4.04E-02
ARHGAP44	9.67E-03	1.96E-01	3.04E-03	1.34E-01	NA	NA	4.04E-02
NXPH2	1.83E-02	2.34E-01	1.06E-03	9.98E-02	1.01E-01	2.42E-01	4.04E-02
HAUS5	1.22E-03	1.20E-01	1.70E-02	2.00E-01	NA	NA	4.04E-02
NIPSNAP3A	5.73E-02	3.35E-01	5.39E-05	5.22E-02	2.54E-01	3.36E-01	4.04E-02
CYP26B1	4.42E-03	1.54E-01	6.15E-03	1.54E-01	7.89E-02	6.50E-01	4.04E-02
ZNF286A	1.81E-02	2.33E-01	8.88E-04	9.44E-02	1.33E-01	4.79E-01	4.04E-02
TTYH1	1.11E-02	2.04E-01	2.06E-03	1.18E-01	3.13E-01	6.78E-01	4.04E-02
SLC38A1	1.72E-02	2.29E-01	9.65E-04	9.75E-02	3.18E-01	4.69E-01	4.04E-02
C1orf198	1.18E-03	1.19E-01	1.74E-02	2.02E-01	8.69E-01	8.65E-01	4.04E-02
PAPLN	4.73E-03	1.58E-01	6.17E-03	1.54E-01	1.45E-01	1.15E-02	4.04E-02
C3orf57	1.50E-03	1.30E-01	1.59E-02	1.97E-01	1.20E-01	3.22E-02	4.04E-02
EMX2OS	1.92E-03	1.31E-01	1.21E-02	1.83E-01	NA	NA	4.04E-02
FRYL	2.66E-04	8.72E-02	3.41E-02	2.51E-01	5.31E-02	4.82E-01	4.04E-02
CD81	1.06E-02	2.02E-01	3.12E-03	1.35E-01	3.94E-01	9.52E-01	4.52E-02
RAB3IL1	1.10E-02	2.03E-01	2.83E-03	1.30E-01	1.48E-01	1.63E-02	4.52E-02
RDX	3.25E-04	9.24E-02	3.75E-02	2.62E-01	9.49E-01	6.06E-01	4.52E-02
SUMO3	5.59E-04	9.26E-02	2.89E-02	2.38E-01	8.63E-01	3.31E-01	4.52E-02
TCF12	1.10E-03	1.19E-01	2.17E-02	2.19E-01	4.80E-01	1.15E-01	4.52E-02
C5orf4	1.60E-03	1.30E-01	1.59E-02	1.97E-01	6.76E-01	4.51E-01	4.52E-02
HMHA1	9.73E-05	6.93E-02	5.61E-02	3.03E-01	1.53E-02	9.50E-01	4.52E-02
C9orf5	2.35E-03	1.36E-01	1.34E-02	1.88E-01	6.68E-01	3.95E-02	4.52E-02
NRN1	1.17E-02	2.06E-01	2.38E-03	1.25E-01	7.23E-01	1.03E-01	4.52E-02
C1orf106	7.68E-03	1.81E-01	4.92E-03	1.47E-01	7.57E-02	3.22E-03	4.52E-02
SLC44A2	1.96E-02	2.38E-01	1.25E-03	1.07E-01	1.16E-02	3.45E-02	4.52E-02
PBXIP1	1.15E-02	2.06E-01	2.67E-03	1.29E-01	1.24E-01	3.64E-02	4.52E-02
COQ10B	1.58E-02	2.25E-01	1.63E-03	1.14E-01	1.93E-03	1.61E-01	4.52E-02
APOD	3.68E-03	1.49E-01	9.99E-03	1.77E-01	4.57E-01	7.33E-01	4.75E-02
BOK	2.00E-03	1.31E-01	1.62E-02	1.98E-01	1.27E-02	5.63E-01	4.75E-02
CDK4	2.29E-03	1.36E-01	1.60E-02	1.97E-01	6.62E-01	8.29E-01	4.75E-02
KCNC1	3.22E-03	1.46E-01	1.10E-02	1.80E-01	2.59E-01	8.07E-01	4.75E-02
NTRK3	9.11E-03	1.91E-01	4.23E-03	1.45E-01	3.31E-05	3.87E-03	4.75E-02
DPF2	1.61E-03	1.30E-01	1.83E-02	2.04E-01	1.85E-01	5.88E-01	4.75E-02
REST	4.91E-03	1.60E-01	8.14E-03	1.72E-01	2.11E-01	2.38E-01	4.75E-02
TULP3	1.00E-02	1.98E-01	4.18E-03	1.45E-01	7.89E-01	6.38E-01	4.75E-02
AP3B1	1.76E-02	2.31E-01	1.67E-03	1.15E-01	1.47E-01	4.09E-01	4.75E-02
PSAT1	6.82E-03	1.78E-01	5.99E-03	1.54E-01	2.68E-01	2.73E-01	4.75E-02
GNG2	1.14E-02	2.06E-01	3.29E-03	1.36E-01	5.01E-01	7.69E-01	4.75E-02
APPL2	3.50E-03	1.48E-01	1.07E-02	1.78E-01	2.69E-01	1.82E-01	4.75E-02
RFK	2.47E-02	2.60E-01	1.01E-03	9.77E-02	7.85E-01	1.86E-01	4.75E-02
KIAA1161	3.71E-04	9.24E-02	3.94E-02	2.67E-01	9.97E-01	3.01E-01	4.75E-02
HIF3A	4.30E-03	1.54E-01	8.76E-03	1.73E-01	1.17E-01	1.04E-01	4.75E-02
PDZD7	1.33E-02	2.12E-01	2.80E-03	1.30E-01	3.28E-01	8.99E-01	4.75E-02
USP42	1.81E-02	2.33E-01	1.57E-03	1.14E-01	2.59E-01	3.02E-01	4.75E-02
USP30	1.67E-03	1.30E-01	1.85E-02	2.04E-01	1.34E-01	5.37E-01	4.75E-02
C10orf90	1.98E-03	1.31E-01	1.74E-02	2.02E-01	3.06E-01	6.94E-02	4.75E-02
DOK6	1.66E-02	2.28E-01	2.03E-03	1.18E-01	1.91E-02	7.30E-01	4.75E-02
SCARNA9	4.74E-03	1.58E-01	8.33E-03	1.73E-01	NA	NA	4.75E-02
CNP	2.05E-03	1.32E-01	1.86E-02	2.05E-01	4.47E-01	7.98E-01	5.09E-02
KIF5A	1.04E-02	2.01E-01	4.32E-03	1.45E-01	1.19E-01	3.47E-01	5.09E-02
LTBP3	2.77E-03	1.42E-01	1.42E-02	1.92E-01	8.86E-01	6.52E-01	5.09E-02
POLR2G	5.74E-02	3.35E-01	1.67E-04	5.74E-02	8.62E-02	6.37E-01	5.09E-02
WFS1	2.70E-02	2.70E-01	9.40E-04	9.70E-02	2.36E-01	3.31E-01	5.09E-02
FSTL4	7.11E-03	1.79E-01	6.80E-03	1.60E-01	7.81E-02	8.01E-01	5.09E-02
WIPI1	2.86E-02	2.74E-01	1.00E-03	9.77E-02	1.50E-02	5.63E-01	5.09E-02
ZNF673	1.27E-02	2.08E-01	3.59E-03	1.39E-01	NA	NA	5.09E-02
CHD7	4.62E-03	1.57E-01	9.99E-03	1.77E-01	3.05E-01	4.58E-02	5.09E-02
VANGL2	5.08E-03	1.61E-01	8.92E-03	1.73E-01	3.71E-01	2.84E-01	5.09E-02
GATAD2B	3.53E-03	1.48E-01	1.32E-02	1.86E-01	7.97E-03	8.47E-01	5.09E-02
KIAA1755	1.42E-03	1.30E-01	2.28E-02	2.21E-01	2.53E-01	8.76E-01	5.09E-02
SLC35E4	1.90E-02	2.37E-01	2.07E-03	1.18E-01	4.03E-02	2.39E-01	5.09E-02
SLC27A1	8.96E-03	1.89E-01	5.36E-03	1.50E-01	3.12E-01	9.40E-01	5.09E-02
DLAT	1.13E-02	2.05E-01	5.02E-03	1.48E-01	9.88E-01	4.85E-01	5.16E-02
EPHX1	3.62E-02	2.86E-01	6.38E-04	8.49E-02	1.48E-01	7.61E-02	5.16E-02
HMGN1	2.92E-03	1.42E-01	1.56E-02	1.97E-01	9.88E-01	7.84E-01	5.16E-02
IDS	2.81E-02	2.73E-01	1.24E-03	1.07E-01	NA	NA	5.16E-02
PDPK1	1.58E-02	2.25E-01	3.27E-03	1.36E-01	7.27E-01	8.46E-01	5.16E-02
TPD52	2.77E-03	1.42E-01	1.68E-02	1.99E-01	9.55E-01	1.22E-01	5.16E-02
TRPC3	1.48E-02	2.21E-01	3.63E-03	1.39E-01	1.49E-01	5.47E-01	5.16E-02
ACOX3	1.98E-03	1.31E-01	2.06E-02	2.14E-01	1.61E-01	4.13E-01	5.16E-02
PRPF3	2.60E-02	2.66E-01	1.26E-03	1.07E-01	9.46E-03	3.35E-03	5.16E-02
B4GALT6	4.15E-02	3.01E-01	4.54E-04	8.10E-02	7.75E-01	1.45E-01	5.16E-02
NDST3	1.96E-02	2.38E-01	2.43E-03	1.26E-01	4.12E-01	5.08E-02	5.16E-02
BCAR1	3.78E-02	2.90E-01	7.06E-04	8.49E-02	8.52E-01	7.10E-01	5.16E-02
ZNF274	4.01E-03	1.51E-01	1.29E-02	1.86E-01	1.67E-01	5.05E-03	5.16E-02
PHLDB1	2.03E-03	1.32E-01	2.00E-02	2.11E-01	2.10E-01	5.11E-01	5.16E-02
C13orf15	5.78E-03	1.67E-01	1.04E-02	1.78E-01	4.90E-01	3.74E-01	5.16E-02
MED31	1.22E-02	2.07E-01	4.18E-03	1.45E-01	5.47E-01	6.32E-01	5.16E-02
RRP15	2.15E-02	2.46E-01	1.76E-03	1.16E-01	7.58E-01	5.91E-01	5.16E-02
UBE2Q1	1.10E-04	6.93E-02	6.65E-02	3.24E-01	2.01E-01	1.31E-01	5.16E-02
AGK	3.69E-03	1.49E-01	1.38E-02	1.91E-01	4.45E-01	3.36E-01	5.16E-02
OTUD7B	2.49E-02	2.60E-01	1.56E-03	1.14E-01	2.21E-02	1.12E-02	5.16E-02
STAMBPL1	1.15E-02	2.06E-01	4.89E-03	1.47E-01	2.47E-01	2.71E-01	5.16E-02
PARP8	3.35E-02	2.81E-01	8.10E-04	9.14E-02	1.03E-01	7.39E-01	5.16E-02
EFHD1	1.95E-03	1.31E-01	2.08E-02	2.15E-01	1.78E-03	1.03E-01	5.16E-02
FAM102A	3.47E-03	1.48E-01	1.54E-02	1.96E-01	1.07E-01	4.68E-02	5.16E-02
PLIN5	6.80E-03	1.78E-01	8.20E-03	1.72E-01	NA	NA	5.16E-02
GOLGA3	1.18E-02	2.06E-01	5.21E-03	1.49E-01	2.25E-01	9.70E-01	5.48E-02
